Sentence,Class
This heating forces the impurities out of the materials and the vacuum pump carries the impurities out of the system,Relevant
Once the tube has cooled the gas is inserted under low pressure,Relevant
The gas must be free from impurities in order for the sign to operate properly and have a long life,Irrelevant
The normal fill pressure for a tube 0 6 inches 15 mm in diameter is about 0 5 inches 12 mm of mercury,Irrelevant
The tubulation port is then heated and sealed off,Relevant
The finished gas filled tubing is put through an aging process,Irrelevant
Sometimes this process is referred to as burning in the tube,Irrelevant
The purpose is to allow the gas in the tube to stabilize and operate properly,Irrelevant
A transformer often rated slightly higher than the normal operating current is attached to the electrodes,Relevant
The tube should come to full illumination within 15 minutes if neon is used,Relevant
It may take up to a few hours for argon,Irrelevant
If a small amount of mercury is to be added to an argon tube a droplet was first placed into the tubulation port before it was sealed,Relevant
The droplet is then rolled from one end to the other to coat the electrodes after the aging process,Relevant
Any problems such as a flicker in the gas or a hot spot on the tube indicate the tubing must be opened and the bombarding and filling processes repeated,Irrelevant
Small neon signs are mounted on their framework and wired in the shop,Relevant
Larger signs may be mounted in pieces and put into place on the building or other support structure where they are interconnected and wired,Relevant
Very large installations may require months to install,Relevant
The composing room receives the story in an electronic format with the computer text file already translated with typeset codes,Irrelevant
In a typeset file the characters are of the same type —style size and width—as they appear on the pages of the newspaper,Irrelevant
The setting of stories into the type that a reader sees went unchanged for several decades until the latter years of the 20th century,Irrelevant
Well into the 1800s type was set by hand letter by letter,Irrelevant
A typesetter dropped small metal letters into a hand held tray called a stick,Irrelevant
The invention of the Linotype machine in 1884 made possible a quicker more efficient method of typesetting ,Irrelevant
Invented by German immigrant Ottmar Mergenthaler of Baltimore Maryland this large cumbersome machine worked by casting hot lead into a line of type with the assistance of an operator who typed in the copy on a keyboard ,Irrelevant
Individual lines of type were then placed by hand onto a page form ,Irrelevant
When a page was completed it was then sent to a stereotyping room where a curved metal plate was made from the page form ,Irrelevant
The page form was then placed on the printing press ,Relevant
Modern technology has replaced the Linotype process through a method called phototypesetting ,Irrelevant
The first step in this process is the transfer of the dummy to the page layout section of the newspaper ,Relevant
There an operator transfers the instructions on the dummy into a rough page prototype ,Relevant
A printed version may be looked over and adjusted several times by one of the reporters whose story is featured as well as by the copy editor ,Relevant
If another breaking story comes in this page layout can be altered in a matter of minutes ,Relevant
The final version of the page is then approved by the editor on duty—sometimes a night editor in the case of a paper that is slated for a morning edition—and sent over to a process department ,Relevant
There the page is taken in its computer format and transferred via laser beams onto film in an image setter apparatus ,Relevant
The operator then takes the film to a processor in another section of the paper who develops it and adjusts it for its final look ,Relevant
Photographs are scanned into another computer terminal and inserted into the page layout ,Relevant
The pages that are set to be printed together are then taped down onto a device called a stripper and an editor checks them over once more for errors,Relevant
The strippers are then put into frames on light sensitive film and the image of each page is burned onto the film,Relevant
The film of each page is inserted into a laser reader a large facsimile machine that scans the page and digitally transfers the images to the printing center of the newspaper,Relevant
At the printing center typically a large plant separate from the newspaper s editorial offices and centrally located to facilitate citywide distribution the pages arrive at the laser room and are put through a laser writer another scanning device that makes a negative image of them,Relevant
In the negative image of the page the text is white while the blank spaces are black,Relevant
The final images of each page are further adjusted,Relevant
This last minute adjustment may involve fine tuning of the colored sections and retouching photographs,Relevant
From these negatives the forms from which the paper will be printed are composed in a platemaking room,Relevant
The film of the page usually done two pages at a time is then placed on a lighted box,Relevant
Next an aluminum plate containing a light sensitive coating is placed on top of the image of the pages,Relevant
The light box is then switched on and ultraviolet light develops the image of the pages onto the aluminum plate,Relevant
The aluminum plate is then bent at the edges so that it will fit into a press and is fitted onto plate cylinders,Relevant
The aluminum plates of each page next move on to the actual printing press an enormous machine often two stories high,Relevant
When the press is running the noise in the building is deafening and employees must wear earplugs,Irrelevant
The most common method of printing newspapers is called web offset,Irrelevant
The web refers to the large sheets of blank newsprint that are inserted in rolls sometimes weighing over a ton into the actual printing press,Irrelevant
The reels of newsprint are loaded in at the bottom floor of the press,Relevant
The rolls are inserted onto a reel stand which has three components the first reel brings a roll of paper up to the press a second is loaded and ready to replace the first roll when it runs out and a third reel stays empty and ready to be fed with another when the first reel is almost finished,Relevant
Each roll of blank newsprint has double sided tape at its edges so that when one roll runs out in the press another smoothly takes up where the other left off without interrupting the printing process,Irrelevant
The plate cylinders then press the image of the page onto a blanket cylinder leaving a version of the page s image on the cylinder s soft material,Relevant
When the paper runs through the press the blanket cylinder presses the image onto it,Relevant
The chemical reaction of the ink which contains oil and the squirting of jets of water into the process result in the actual newspaper page of black or colored images on a white back ground,Relevant
Since oil and water do not mix the areas where ink should adhere to the page are black or colored and water washes away the parts where ink is not needed,Relevant
This is why this printing process is referred to as offset,Irrelevant
Next the large sheets of printed newsprint move on to another large piece of machinery called a folder,Relevant
There the pages are cut individually and folded in order,Relevant
This entire printing process can move as fast as 60 000 copies per hour,Irrelevant
Quality control technicians and supervisors take random copies and scan them for printing malfunctions in color order and readability,Relevant
Next a conveyer belt moves the papers into a mail room section of the plant where they are stacked into quires or bundles of 24,Relevant
The quires then move to another section where a machine wraps them in plastic,Relevant
The bundles are now ready to be loaded onto delivery trucks for distribution,Relevant
The following paddle manufacturing process is an assembly line operation,Irrelevant
It can be used to manufacture several types of paddles,Irrelevant
It combines custom made pieces alterations to stock materials and assembly,Irrelevant
Blades and grips are formed using a standard manufacturing process called injection molding,Irrelevant
Materials needed in this process are granulated or powdered thermoplastics and color pigment which are mixed together,Relevant
Injection molding is a process in which the raw materials are funneled through a hopper at the top of the injection molding machine into a heated barrel that mixes and softens them,Relevant
The softened material is then forced or injected through the barrel by a retractable screw or plunger into a relatively cool mold cavity for hardening,Relevant
In paddle manufacturing the mold cavity is shaped like the blade or grip,Relevant
Once the blade or grip is fully cured the detachable mold cavity is opened thereby releasing the molded plastic piece,Relevant
The injection molding process can operate continuously since the screw can retract to fill the barrel with fresh raw materials while the piece in the cavity hardens,Irrelevant
Blades and grips must be inspected for flash,Relevant
Flash is excess plastic that seeped into the seams of the mold cavity and hardened,Relevant
Blades and grips are cleaned by hand to remove the excess plastic and smooth the edges,Relevant
Aluminum tubing is cut to length using a table saw,Relevant
The plastic tubing or other protective material used to cover the shaft is also cut by this method,Relevant
Once the shafts are cut to size the cork or foam can be press fit into the shaft,Relevant
A press fit is the name for a method of attaching pieces together using the tightness of the bond that results from forcing the two pieces together,Irrelevant
Excess cork or foam is trimmed by hand,Relevant
The exact order of assembly can vary,Irrelevant
In a typical operation plastic tubing or other protective material is slipped over the aluminum shaft,Relevant
The plastic tubing is heated with a hot air gun which causes it to shrink tightly onto the shaft,Relevant
In some assembly operations the grip is pushed onto the aluminum shaft before the plastic tubing,Relevant
In this case the plastic tubing shrinks over the neck of the grip therefore securing the grip to the shaft as well,Relevant
The neck of the blade is press fit on to the plastic covered shaft at the paddle s throat,Relevant
This helps prevent the blade from becoming loose and spinning on the shaft,Irrelevant
In another variation the grips and blades are shaped so that they are pushed inside the ends of the plastic covered aluminum tubing by machine,Relevant
Hydraulic or pneumatic presses squeeze and slightly deform the ends of the aluminum tubing into the neck of the blade or grip to securely fasten the plastic pieces,Relevant
Once the paddle is fully assembled it is wrapped in a clear plastic bag,Relevant
The paddles are then packed in corrugated boxes about 30 to a box for shipping to distributors,Relevant
Several processes are commonly used to convert logs to wood pulp,Irrelevant
In the mechanical process logs are first tumbled in drums to remove the bark,Relevant
The logs are then sent to grinders which break the wood down into pulp by pressing it between huge revolving slabs,Relevant
The pulp is filtered to remove foreign objects,Relevant
In the chemical process wood chips from de barked logs are cooked in a chemical solution,Relevant
This is done in huge vats called digesters,Irrelevant
The chips are fed into the digester and then boiled at high pressure in a solution of sodium hydroxide and sodium sulfide,Relevant
The chips dissolve into pulp in the solution,Relevant
Next the pulp is sent through filters,Relevant
Bleach may be added at this stage or colorings,Relevant
The pulp is sent to the paper plant,Relevant
The pulp is next put through a pounding and squeezing process called appropriately enough beating,Relevant
Inside a large tub the pulp is subjected to the effect of machine beaters,Relevant
At this point various filler materials can be added such as chalks clays or chemicals such as titanium oxide,Relevant
These additives will influence the opacity and other qualities of the final product,Relevant
Sizings are also added at this point,Relevant
Sizing affects the way the paper will react with various inks,Relevant
Without any sizing at all a paper will be too absorbent for most uses except as a desk blotter,Irrelevant
A sizing such as starch makes the paper resistant to water based ink inks actually sit on top of a sheet of paper rather than sinking in ,Irrelevant
A variety of sizings generally rosins and gums is available depending on the eventual use of the paper,Irrelevant
Paper that will receive a printed design such as gift wrapping requires a particular formula of sizing that will make the paper accept the printing properly,Irrelevant
In order to finally turn the pulp into paper the pulp is fed or pumped into giant automated machines,Relevant
One common type is called the Fourdrinier machine which was invented in England in 1807,Irrelevant
Pulp is fed into the Fourdrinier machine on a moving belt of fine mesh screening,Relevant
The pulp is squeezed through a series of rollers while suction devices below the belt drain off water,Relevant
If the paper is to receive a water mark a device called a dandy moves across the sheet of pulp and presses a design into it,Irrelevant
The paper then moves onto the press section of the machine where it is pressed between rollers of wool felt,Relevant
The paper then passes over a series of steam heated cylinders to remove the remaining water,Relevant
A large machine may have from 40 to 70 drying cylinders,Irrelevant
Finally the dried paper is wound onto large reels where it will be further processed depending on its ultimate use,Relevant
Paper is smoothed and compacted further by passing through metal rollers called calendars,Relevant
A particular finish whether soft and dull or hard and shiny can be imparted by the calendars,Irrelevant
The paper may be further finished by passing through a vat of sizing material,Relevant
It may also receive a coating which is either brushed on or rolled on,Relevant
Coating adds chemicals or pigments to the paper s surface supplementing the sizings and fillers from earlier in the process,Relevant
Fine clay is often used as a coating,Relevant
The paper may next be supercalendered that is run through extremely smooth calendar rollers for a final time,Relevant
Then the paper is cut to the desired size,Relevant
The semolina is stored in giant silos that can hold up to 150 000 pounds 68 100 kg ,Relevant
Pipes move the flour to a mixing machine equipped with rotating blades,Relevant
Warm water is also piped into the mixing machine,Relevant
The mixture is kneaded to a lumpy consistency,Relevant
Eggs are added to the mixture if the product is an egg noodle,Relevant
If pasta is to be a flavored variety vegetable juices are added here,Relevant
A tomato or beet mixture is added for red pasta spinach for green pasta carrots for orange pasta,Relevant
Herbs and spices can also be folded in for additional flavoring,Relevant
The mixture moves to a laminator where it is pressed into sheets by large cylinders,Relevant
A vacuum mixer machine further flattens the dough while pressing air bubbles and excess water from the dough to reach the optimum water content of 12%,Irrelevant
The roll of dough moves through a steamer which heats the dough to 220 F 104 C in order to kill any existing bacteria,Relevant
Depending on the type of noodle to be produced the dough is either cut or pushed through dies,Relevant
Ribbon and string style pasta—such as fettucine linguine spaghetti and capellini angel hair —are cut by rotating blades,Relevant
To make tube or shell shaped pasta such as rigatoni ziti elbow macaroni and fusilli the dough is fed into an extruder which then pushes it through metal dies,Relevant
The size and shape of the holes in the die determine the type of pasta,Irrelevant
To make vermicelli and capellini the pasta dough is pushed through holes between 0 8 0 5 mm in diameter,Relevant
The cutting machine then cuts the pasta into lengths of 10 inches 250 mm and twists it into curls,Relevant
Spaghetti ranges from 1 4423 2 5 mm in diameter and is left straight,Relevant
Tortellini filled pasta rings are made on a separate machine,Irrelevant
The machine cuts small circles from a roll of dough,Relevant
A bucket of ricotta cheese mixture drops a pre measured amount of cheese onto the circle of dough,Relevant
The dough is then folded over and the two ends are joined to form a circle,Relevant
To make ravioli filled pasta squares premeasured quantities of cheese filling are dropped by machine at pre measured intervals on a sheet of pasta,Relevant
Another sheet of pasta is placed over this sheet as it moves along a conveyer belt,Relevant
The two layers then pass under a cutting machine that perforates the pasta into pre measured squares,Relevant
The pasta is placed in a drying tank in which heat moisture and drying time are strictly regulated,Relevant
The drying period differs for the various types of pasta,Relevant
It can range from three hours for elbow macaroni and egg noodles to as much as 12 hours for spaghetti,Irrelevant
The drying time is critical because if the pasta is dried too quickly it will break and if it is dried too slowly the chance for spoilage increases,Irrelevant
The oxygen level in the tank is also regulated and lab technicians test frequently for salmonella and other bacteria,Relevant
Careful handling of the pasta during the drying period is also crucial,Irrelevant
Spaghetti is the most fragile of the noodles and is therefore hung high above the floor,Irrelevant
Fresh pasta is folded in pre measured amounts into clear plastic containers,Relevant
As the containers move along a conveyer belt a plastic sheet covers each container and is sealed with a hot press,Relevant
At the same time a small tube sucks the air of the container and replaces it with a mixture of carbon dioxide and nitrogen to prolong the product s shelf life,Relevant
Labels listing the type of noodle nutritional information cooking instructions and expiration date are attached to the top of the containers,Relevant
Dried pasta is loaded either manually or by machine into stainless steel buckets usually of heavy gauge type 304 which move along a conveyer belt to the appropriate packaging station,Relevant
The pasta is measured by machine into pre printed boxes which also list the type of noodle ingredients preparation and expiration date,Relevant
Again careful handling is important,Irrelevant
For example because lasagna noodles are particularly fragile workers place them on metal slides that ease the pasta into boxes,Irrelevant
The boxes are then sealed by machine,Relevant
Conveying system can be constructed in S C or Z configurations or as horizontal conveyer belts,Irrelevant
These systems move the pasta up and down and across the plant at heights up to 10 feet 3 m ,Irrelevant
Workers at the floor level stations monitor the packaging process,Relevant
The mechanism allows for workers to package the pasta manually if necessary,Irrelevant
Before the manufacturing process begins the initial ingredients must be brought to the manufacturing center,Relevant
Plant substances are harvested from around the world often hand picked for their fragrance,Irrelevant
Animal products are obtained by extracting the fatty substances directly from the animal,Irrelevant
Aromatic chemicals used in synthetic perfumes are created in the laboratory by perfume chemists,Irrelevant
Oils are extracted from plant substances by several methods steam distillation solvent extraction enfleurage maceration and expression,Irrelevant
In steam distillation steam is passed through plant material held in a still whereby the essential oil turns to gas,Relevant
This gas is then passed through tubes cooled and liquified,Relevant
Oils can also be extracted by boiling plant substances like flower petals in water instead of steaming them,Relevant
Under solvent extraction flowers are put into large rotating tanks or drums and benzene or a petroleum ether is poured over the flowers extracting the essential oils,Relevant
The flower parts dissolve in the solvents and leave a waxy material that contains the oil which is then placed in ethyl alcohol,Relevant
The oil dissolves in the alcohol and rises,Relevant
Heat is used to evaporate the alcohol which once fully burned off leaves a higher concentration of the perfume oil on the bottom,Relevant
Oils are extracted from plant substances by steam disfillation solvent extraction enfleurage maceration or expression,Irrelevant
During enfleurage flowers are spread on glass sheets coated with grease,Relevant
The glass sheets are placed between wooden frames in tiers,Relevant
Then the flowers are removed by hand and changed until the grease has absorbed their fragrance,Relevant
Maceration is similar to enfleurage except that warmed fats are used to soak up the flower smell,Relevant
As in solvent extraction the grease and fats are dissolved in alcohol to obtain the essential oils,Relevant
Expression is the oldest and least complex method of extraction,Irrelevant
By this process now used in obtaining citrus oils from the rind the fruit or plant is manually or mechanically pressed until all the oil is squeezed out,Relevant
It is the ratio of alcohol to scent that determines perfume eau de toilette and cologne,Irrelevant
Once the perfume oils are collected they are ready to be blended together according to a formula determined by a master in the field known as a nose,Irrelevant
It may take as many as 800 different ingredients and several years to develop the special formula for a scent ,Irrelevant
After the scent has been created it is mixed with alcohol ,Relevant
The amount of alcohol in a scent can vary greatly ,Irrelevant
Most full perfumes are made of about 10 20% perfume oils dissolved in alcohol and a trace of water ,Irrelevant
Colognes contain approximately 3 5% oil diluted in 80 90% alcohol with water making up about 10% ,Irrelevant
Toilet water has the least amount—2% oil in 60 80% alcohol and 20% water ,Irrelevant
Fine perfume is often aged for several months or even years after it is blended ,Relevant
Following this a nose will once again test the perfume to ensure that the correct scent has been achieved ,Relevant
Each essential oil and perfume has three notes Notes de tete or top notes notes de coeur central or heart notes and notes de fond base notes,Irrelevant
Top notes have tangy or citrus like smells central notes aromatic flowers like rose and jasmine provide body and base notes woody fragrances provide an enduring fragrance,Irrelevant
More notes of various smells may be further blended,Irrelevant
Generally rendering is performed by meat processors,Relevant
Rendering entails rupturing fat cells either by heat or enzymatic and solvent extraction and then drying the residue,Relevant
The meat products are coarsely ground to the desired texture,Relevant
To facilitate further processing the ground meat is cooked in a continuous cooker with live steam at the appropriate temperature,Relevant
The flesh products are reground after initial cooking to produce a more uniform consistency,Relevant
For semi moist or chunky foods the batches are deliberately cooked unevenly to create the desired chunky texture,Relevant
The meat mixture is blended with other ingredients such as cereal grains vitamins and minerals,Relevant
Dry and semi moist foods are usually heated so the mixture will partially dextrinize or thicken the starch,Irrelevant
To achieve the marbled look of real meat the meat mixture may be cooked unevenly and half of the batch colored red and the other white,Relevant
Semimoist foods must be stabilized to retain the proper amount of moisture in the dry and semi moist parts of the food,Relevant
Dry and semi moist foods may be extruded under high pressure through a device with orificed plates to obtain the shape and size of the specific product for instance the form of biscuits kibbles meat balls patties pellets or slices,Relevant
An alternative to extrusion is to gelatinize and expand the mixture,Irrelevant
For marbled meat the mixture of red and white meat is extruded together and broken into chunks,Relevant
Measured amounts of the product are packaged into appropriate containers,Relevant
Dry foods are poured into pre printed containers,Relevant
Moist canned foods are vacuum sealed to reduce the oxygen content and prevent spoilage of fats in the food,Relevant
Cans of pet food are sterilized by passing them through a retort or heating chamber,Relevant
The retort may be either a batch or continuous hydrostatic type,Relevant
The cans are heated to about 250 F 121 C for 80 minutes though the cooking temperatures and times depend on the contents steam pressure and can size,Relevant
The cans are quickly cooled to about 100 FO 38 C ,Relevant
Next the cans are dried and labeled,Relevant
The containers are packaged into corrugated cardboard boxes or shrink wrapped with plastic in corrugated cardboard trays,Relevant
The pet food is ready fot shipping to distributors,Relevant
For most films the base to which the light sensitive emulsion is fixed consists of cellulose acetate which is wood pulp or cotton linters short cottonseed fibers mixed with acetate to form a syrup,Irrelevant
Solid pellets of cellulose acetate precipitate or separate out of the syrup and are washed and dried,Relevant
The pellets are dissolved in solvents to form the transparent honey like dope,Relevant
The dope is spread in a thin even sheet on a wheel that is two stories in diameter,Relevant
The wheel is plated with chromium for a smooth finish and it turns slowly,Relevant
The solvents in the dope volatilize or evaporate as the wheel turns,Relevant
The process is much like the applying and drying of nail polish,Irrelevant
The remaining base is a thin sheet of plastic that is of a uniform thickness measured in ten thousandths of an inch,Irrelevant
When it is dry the base is removed from the wheel and wound on 54 inch 137 cm diameter reels,Relevant
Silver is the main ingredient of the emulsion,Irrelevant
Pure silver bullion is received at the manufacturing plant in bars that are checked by weight and serial number,Relevant
The bars are dissolved in a strong solution of nitric acid and the process releases heat,Relevant
After the acid has completely dissolved the silver the solution is stirred constantly and cooled,Relevant
Cooling causes crystals of silver nitrate to grow much like salt crystals in water,Irrelevant
The crystals are wet with water that also separates out,Relevant
The crystals are removed from the solution and whirled in centrifuges with sieve like openings to remove the water and keep the crystals pure,Relevant
At this point in the process the chemical solutions are light sensitive so further manufacturing processes are completed in darkness,Irrelevant
Meanwhile gelatin has been made using distilled water and treated with chemicals including potassium iodide and potassium bromide,Irrelevant
The gelatin serves as a binding agent to hold the silver nitrate crystals and also to fix them to the base,Irrelevant
The gelatin and chemicals are mixed in cookers that are lined with silver so the emulsion remains pure,Relevant
As the mixture cools silver halide salts chemical combinations of the silver iodide and bromide form as fine crystals that remain suspended in the gelatin to make the emulsion,Irrelevant
The emulsion is pumped through a piping system to coating alley a huge work area that may be 200 feet 61 m wide and five stories high,Relevant
The area must be immaculately clean and dust free and the operations of the roll coating machines are controlled by arrays of control panels in the fully automated process,Relevant
Machines coat precise amounts of emulsion in micro thin layers on the wide strips of plastic base a single dried layer of emulsion may be six one hundred thousandths of an inch thick,Relevant
Successive layers of three emulsions are applied to the base to make color film and each emulsion layer has its own color forming chemicals called linked dyes,Relevant
The three emulsion layers in color film respond to blue green and red light so each photograph is a triple latent image with the sandwiched color range reproduced by processing,Irrelevant
The strips of emulsion coated base now film are cut into progressively narrower widths perforated so the film can be advanced in the camera and spooled except for instant film and sheet film that are packed flat,Relevant
Film is packed in cartridges cassettes rolls instant packs or sheets,Relevant
Cartridges are used in certain types of cameras and include a take up spool that is built in so the exposed film and cartridge are removed as a unit,Irrelevant
Cassettes are made for cameras that use film in the 35 millimeter format,Irrelevant
They consist of a spool enclosed in a metal jacket,Irrelevant
The tongue of the film is drawn over the pressure plate at the back of the camera to a take up spool that is built into the camera,Relevant
When the film is finished it is rewound onto the spool in the cassette and the unit is removed,Relevant
Rollfilms consist of paper backed film that is packed on a spool like the one in the camera,Irrelevant
The film is wound onto the spool in the camera and that spool and film are removed,Relevant
The spool on which the film was packed originally can then be moved to the receiving side of the camera and a new roll inserted,Irrelevant
The packs for instant cameras contain 8 to 12 sheets that are ejected individually after each shot,Irrelevant
Sheet film is used for specialized applications like x ray film,Irrelevant
Plastic cartridges for cartridge type film are made by injection molding in which fluid like plastic is squirted mechanically into forms or molds,Relevant
These are hardened removed from the molds and trimmed and smoothed,Relevant
The spooled film is then placed in the cartridges and sealed,Relevant
The metal canisters are printed on the outside cut to shape and size trimmed and smoothed and edged with protective plastic,Relevant
The metal is shaped around the spools of film,Relevant
Plastic canisters and caps are also made for the film canisters as are other types of outer packaging such as foil lined paper pouches and the outer cartons,Relevant
The packaging is dated shrink wrapped in plastic in quantities appropriate for sale packed in cardboard containers for shipping and stored in air conditioned rooms to await shipment,Relevant
The chemicals needed to synthesize polymers are usually obtained from petroleum,Irrelevant
Crude oil is heated in a furnace to about 752 F 400 C ,Relevant
Vapors from the oil move into a fractionating column a tall tower containing a series of chambers,Relevant
The chambers are warmer at the bottom of the tower and cooler at the top,Relevant
The various substances that make up petroleum rise through the chambers as gases until they reach the temperature at which they become liquids,Irrelevant
Since each substance has a different boiling point they liquefy in different chambers and can be separated and collected,Relevant
Most polymers begin with very simple hydrocarbons that have low boiling points,Irrelevant
These substances do not liquefy in the fractionating column but instead remain in the form of gases which can be removed from the top of the tower,Relevant
They may also be obtained from natural gas which is mostly methane,Relevant
Another source for these chemicals is naphtha a mixture of liquid hydrocarbons obtained from a fractionating column which are heavier than gasoline but lighter than heavy oil,Irrelevant
Naphtha is heated under pressure to break down the liquid hydrocarbons into smaller molecules a process known as cracking,Relevant
A catalyst is added to enable cracking to take place at a lower temperature and pressure than it would without it,Relevant
The catalyst may be a natural or artificial clay a mixture of alumina and silica or a zeolite any of various minerals containing aluminum silicon oxygen and other elements in combination with water ,Irrelevant
Catalytic cracking usually takes place at a temperature of about 932 F 500 C under a pressure of about 100 kilo pascals,Irrelevant
The cracked naphtha is then distilled in a manner similar to that in a fractionating column to separate its components,Relevant
Polyethylene is polymerized from ethylene which is obtained from cracking,Relevant
Ethylene is heated in a pressure chamber to about 338 F 170 C at a pressure of about 200 000 kilopascals in the presence of a small amount of oxygen,Relevant
The oxygen breaks the ethylene down into free radicals which combine with each other to form chains of polyethylene,Relevant
About one percent of a nonreacting gas such as propane is added to prevent the chains from becoming too long,Relevant
PVC is polymerized from vinyl chloride which can be obtained either by mixing acetylene with hydrochloric acid or ethylene with chlorine,Relevant
Ethylene is more commonly used because it is efficiently obtained from the cracking of naphtha,Irrelevant
If acetylene is used it must first be synthesized by heating methane to about 2732 F 1500 C or through various other chemical reactions,Irrelevant
Vinyl chloride is mixed with water and agitated to form a suspension much as oil and vinegar are mixed to form salad dressing,Relevant
Various suspending agents such as starch and gelatin are added to keep the mixture from separating,Relevant
The temperature of the suspension is raised to about 104 F 40 C or 122 F 50 C and an initiator usually an organic peroxide is added to start the reaction,Relevant
The vinyl chloride molecules react with each other to form chains of PVC,Relevant
The mixture is cooled and particles of PVC are separated from the water in a centrifuge and dried in an oven,Relevant
PVDC is polymerized from a mixture of about 15% vinyl chloride and about 85% vinylidene chloride,Irrelevant
To produce vinylidene chloride first 1 1 2 trichloroethane is made by mixing acetylene hydrochloric acid and chlorine or by mixing ethylene and chlorine,Relevant
The 1 1 2 trichloroethane then reacts with calcium hydroxide or sodium hydroxide to produce vinylidene chloride,Relevant
Polymerization of PVDC proceeds in much the same way as PVC,Irrelevant
Polyethylene is naturally flexible but PVC and PVDC must have plasticizers added or they will be hard and rigid,Irrelevant
Various organic and inorganic esters can be used as plasticizers,Irrelevant
Generally the liquid plasticizer is slowly sprayed into dry polymer powder and heated to about 302 F 150 C to form a homogeneous mixture,Relevant
Plastic wrap is made by extrusion,Relevant
In this process granules of plastic are heated until they melt at about 212 F 100 C for polyethylene and about 392 F 200 C for PVC and PVDC,Relevant
The liquid is then forced through a die to form a tube of warm stretchable plastic,Relevant
At regular intervals compressed air is blown into the side of the moving tube to form large bubbles,Relevant
This stretches the plastic to the desired thinness,Irrelevant
The thin plastic cools rapidly and the bubble is collapsed between metal rollers to form a film,Relevant
The film is wound around a large metal roller to form a roll that may hold several kilometers of plastic wrap,Relevant
The plastic film on these rolls is then unrolled cut to the proper length usually about 49 feet [15 m] and width about 1 foot [0 33 m] and rerolled onto small cardboard tubes,Relevant
This rolling unrolling and rerolling tends to give the plastic wrap a slight negative charge of static electricity that helps it cling ,Irrelevant
The cardboard tubes of plastic wrap are placed in cardboard boxes that have a serrated edge at the opening so that the consumer can tear off the desired length,Relevant
Some also have a sticky spot on the box to catch the edge of the plastic wrap so it doesn t stick to the tube,Irrelevant
The boxes of plastic wrap are then stacked in cartons and shipped to retailers,Relevant
The player subassembly is the player action that consists of 88 solenoids and plungers that are computer activated to move the keys,Irrelevant
It is made of preexisting parts that are put together along an assembly line using a combination of hand assembly and automated processes,Irrelevant
The electronics including the power supply control box key activation devices and interconnections are controlled by the components on a printed circuit board,Irrelevant
Circuit boards in panel form multiple boards of the same kind made on one large panel and separated after components are inserted are used to facilitate automated assembly because components can be added easily,Irrelevant
Components of a single kind are supplied in long rolls that are fed through an automated sequencer,Irrelevant
The sequencer checks to make sure each part is correct then organizes an array of parts into the proper sequence for insertion in the circuit board,Relevant
Some parts are formed shaped and inserted in the board by an automated dip inserter that can also check the appropriateness of the part,Relevant
Other parts are added by hand,Irrelevant
The parts are soldered in place by passing the circuit board through a wave soldering machine,Relevant
It washes the board with flux to remove contaminants heats the board and components by infrared heat to reduce thermal shock as the board is soldered then passes the underside of the board over a wave of molten solder,Relevant
The solder flows up each component and board perforation by capillary action to the upper surface of the board,Relevant
It cools and hardens fixing the components in place,Relevant
The completed circuit boards are installed in control boxes and tested as a quality assurance step,Relevant
Software is loaded and the control boxes are activated over a two day long test period or burn in process that simulates the actual working of the player system,Relevant
Any failures during that time are detected and corrected,Relevant
On another part of the player subassembly line the solenoids and plungers are made and installed on a rail or support,Relevant
Magnetic wire is wrapped by machine on the solenoid bases and sealed in place,Relevant
Wire connections are also attached to each solenoid and the plunger assemblies are paired with solenoids,Irrelevant
The solenoids and plungers are assembled on aluminum rails,Irrelevant
Depending on the manufacturer the solenoid plungers vary in configuration and the rail may be one piece or several sections,Irrelevant
Rail mounting brackets will be used later to mount the solenoids under the piano keyboard,Irrelevant
A similar assembly is made to activate the piano pedals,Irrelevant
The player piano can also record music played on the piano if a recording strip is installed this allows students or performers to play back their work and aids composers in creating and revising their compositions,Irrelevant
The recording strip consists of a mounting rail and tiny electronic film switches that are cased in plastic,Irrelevant
There is one switch or finger per key and the recording strip is sensitive to the key or keys that are struck the duration they are depressed and the velocity or intensity soft or loud per key strike,Irrelevant
The recording strip is linked electronically to the piano s computer where signals are processed into MIDI messages,Irrelevant
This data can be stored by analog media like a cassette player or VCR or directed to a floppy disk drive,Relevant
It can be played back by the piano or other MIDI compatible instrument,Irrelevant
The disc player and other devices are connected to the player piano via the control box,Irrelevant
It may be a floppy disk drive compact disc CD player or both player pianos can also be attached to VCRs in combination with televisions or computer monitors so lyrics can be synchronized for sing alongs or other programmed entertainment,Irrelevant
Most manufacturers purchase these components and remote controls for them from outside suppliers,Irrelevant
As another added feature the piano can play along with all manner of recorded accompaniments including vocals other individual instruments or an orchestra,Irrelevant
The soundboxes for these additions are electronic speakers that can be furnished as accessories to the piano and that are supplied by vendors,Irrelevant
Software is added to supply the other sounds via the MIDI system,Relevant
On another assembly line the player subassembly and recording strip are installed in a piano,Relevant
The pianos are supplied by the manufacturer s own piano division or an out side vendor,Irrelevant
A slot is cut in the wood under the piano keyboard but the structural integrity of the piano is not affected,Relevant
The solenoid rail or set of rails is mounted under the piano so that the plungers are under the tails of the keys,Relevant
The recording strip is similarly installed,Relevant
The solenoid links with the pedals are also connected the control box is mounted under the keyboard and the power supply is mounted to the underside of the piano,Relevant
